,ticker,company_name,price,change,percent_change,volume
24,AFRM,"Affirm Holdings, Inc.",42.07,2.66,6.75,27539000.0
23,WBD,"Warner Bros. Discovery, Inc.",11.47,0.65,6.01,27966000.0
22,UBER,"Uber Technologies, Inc.",61.7,0.72,1.18,28852000.0
21,AAL,American Airlines Group Inc.,13.76,-0.15,-1.08,30197000.0
20,RIOT,"Riot Platforms, Inc.",15.83,0.95,6.38,31413000.0
19,LU,Lufax Holding Ltd,0.8674,0.0035,0.41,31523000.0
18,PFE,Pfizer Inc.,28.78,0.15,0.52,31891000.0
17,GOOGL,Alphabet Inc.,134.99,-1.94,-1.42,32259999.999999996
16,CCL,Carnival Corporation & plc,18.11,0.18,1.0,32726999.999999996
15,SOFI,"SoFi Technologies, Inc.",8.13,0.17,2.14,34627000.0
14,LCID,"Lucid Group, Inc.",4.73,0.25,5.58,34653000.0
13,BAC,Bank of America Corporation,30.96,0.3,0.98,34794000.0
12,RIVN,"Rivian Automotive, Inc.",19.04,-0.15,-0.78,34975000.0
11,NVDA,NVIDIA Corporation,475.06,9.1,1.95,35922000.0
10,AMZN,"Amazon.com, Inc.",147.42,0.54,0.37,41906000.0
9,T,AT&T Inc.,16.92,-0.17,-0.99,42137000.0
8,NIO,NIO Inc.,7.38,-0.11,-1.47,42786000.0
7,INTC,Intel Corporation,42.7,0.55,1.3,42815000.0
6,F,Ford Motor Company,11.01,0.19,1.76,48961000.0
5,PARA,Paramount Global,16.85,1.82,12.11,49773000.0
4,MARA,"Marathon Digital Holdings, Inc.",16.78,1.27,8.19,53071000.0
3,AAPL,Apple Inc.,195.71,1.44,0.74,53406000.0
2,PLTR,Palantir Technologies Inc.,17.77,0.55,3.19,57542000.0
1,AMD,"Advanced Micro Devices, Inc.",128.92,0.55,0.43,89341000.0
0,TSLA,"Tesla, Inc.",243.84,1.2,0.49,103127000.0
