,sector,market_cap_sector,div_yield_sector,day_change_sector,volume_sector,industries,stocks_sector,industry,market_cap_industry,div_yield_industry,day_change_industry,volume_industry,stocks_industry,All Sectors
0,Commercial Services,1693000000000.0,0.82,0.12,2659000.0,5.0,249.0,Advertising/Marketing Services,44852000000.0,3.48,0.86,1317000.0,37.0,All Sectors
1,Commercial Services,1693000000000.0,0.82,0.12,2659000.0,5.0,249.0,Commercial Printing/Forms,22005000000.0,1.99,-0.1,1202000.0,14.0,All Sectors
2,Commercial Services,1693000000000.0,0.82,0.12,2659000.0,5.0,249.0,Financial Publishing/Services,212277000000.0,0.84,-0.13,1550000.0,3.0,All Sectors
3,Commercial Services,1693000000000.0,0.82,0.12,2659000.0,5.0,249.0,Miscellaneous Commercial Services,1381000000000.0,0.69,0.13,2952000.0,167.0,All Sectors
4,Commercial Services,1693000000000.0,0.82,0.12,2659000.0,5.0,249.0,Personnel Services,33197000000.000004,1.75,0.42,362226.0,28.0,All Sectors
5,Communications,867300000000.0,4.54,-0.48,11208000.0,3.0,49.0,,,,,,,All Sectors
6,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Automotive Aftermarket,20618000000.0,1.68,-0.11,1439000.0,5.0,All Sectors
7,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Electronics/Appliances,35663000000.0,1.26,1.52,2199000.0,21.0,All Sectors
8,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Home Furnishings,21227000000.0,1.97,0.54,905758.0,20.0,All Sectors
9,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Homebuilding,226444000000.0,0.83,1.97,1324000.0,29.0,All Sectors
10,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Motor Vehicles,1467000000000.0,1.02,0.1,58404000.0,44.0,All Sectors
11,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Other Consumer Specialties,7348000000.0,1.3,-0.2,81521.0,7.0,All Sectors
12,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Recreational Products,43384000000.0,1.83,0.01,1343000.0,28.0,All Sectors
13,Consumer Durables,1851000000000.0,1.07,0.35,46568000.0,8.0,160.0,Tools & Hardware,29168000000.0,3.06,-0.47,910632.0,6.0,All Sectors
14,Consumer Non-Durables,2846000000000.0,2.94,-0.42,4702000.0,9.0,165.0,,,,,,,All Sectors
15,Consumer Services,2075000000000.0002,1.15,0.68,5390000.0,10.0,240.0,Broadcasting,81461000000.0,1.95,4.15,10235000.0,21.0,All Sectors
